temps,info
2021-07-05 15:59:17,GET /verifier 200 10563 - 5.111 ms

2021-07-05 15:59:17,GET /css/verification.css 404 159 - 2.314 ms

2021-07-05 15:59:59,GET /profil 304 - - 6.512 ms

2021-07-05 16:00:00,GET /css/admin.css 404 152 - 2.968 ms

2021-07-05 16:01:14,GET /saisie 304 - - 7.322 ms

2021-07-05 16:01:14,GET /css/PageSaisie.css 404 157 - 2.461 ms

2021-07-05 16:01:18,GET /verifier 304 - - 6.717 ms

2021-07-05 16:01:18,GET /css/verification.css 404 159 - 3.086 ms

2021-07-05 16:02:22,GET /verifier 304 - - 4.510 ms

2021-07-05 16:02:22,GET /css/verification.css 404 159 - 4.870 ms

2021-07-05 16:02:25,DELETE /logout?_method=DELETE 302 64 - 2.356 ms

2021-07-05 16:02:25,GET /connecter 200 6458 - 5.187 ms

2021-07-05 16:06:24,POST /connecter 302 58 - 91.181 ms

2021-07-05 16:06:24,GET /profil 304 - - 5.652 ms

2021-07-05 16:06:24,GET /css/admin.css 404 152 - 2.799 ms

2021-07-05 16:06:27,GET /verifier 304 - - 4.027 ms

2021-07-05 16:06:27,GET /css/verification.css 404 159 - 2.206 ms

2021-07-05 16:06:30,DELETE /logout?_method=DELETE 302 64 - 2.895 ms

2021-07-05 16:06:30,GET /connecter 200 6458 - 8.766 ms

2021-07-05 16:06:43,POST /connecter 302 58 - 101.089 ms

2021-07-05 16:06:43,GET /profil 200 6443 - 47.408 ms

2021-07-05 16:06:44,GET /css/admin.css 404 152 - 4.013 ms

2021-07-05 16:07:47,GET /profil 200 6998 - 6.101 ms

2021-07-05 16:07:47,GET /css/admin.css 404 152 - 2.144 ms

2021-07-05 16:08:22,GET /profil 200 7000 - 5.505 ms

2021-07-05 16:08:22,GET /css/admin.css 404 152 - 2.194 ms

2021-07-05 16:08:28,GET /DossierNonVal 302 58 - 2.613 ms

2021-07-05 16:08:28,GET /profil 200 7264 - 9.948 ms

2021-07-05 16:08:29,GET /css/admin.css 404 152 - 3.533 ms

2021-07-05 16:08:35,GET /DossierNonVal 302 58 - 2.212 ms

2021-07-05 16:08:35,GET /profil 304 - - 22.249 ms

2021-07-05 16:08:35,GET /css/admin.css 404 152 - 2.060 ms

2021-07-05 16:08:38,GET /verifier 302 58 - 2.150 ms

2021-07-05 16:08:38,GET /profil 304 - - 7.370 ms

2021-07-05 16:08:38,GET /css/admin.css 404 152 - 2.080 ms

